"id","country_id","name","name_en","acase_code","del","ResortFeeRu","ResortFeeEn"
"194","255","Фукуи","Fukui","0","0",NULL,NULL
"195","255","Хёго","Hyogo","0","0",NULL,NULL
"196","255","Кумамото","Kumamoto","0","0",NULL,NULL
"197","255","Эхимэ","Ehime","0","0",NULL,NULL
"198","89","Парана","Parana","0","0",NULL,NULL
"199","89","Токантинс","Tocantins","0","0",NULL,NULL
"200","1","Забайкальский край","Trans-Baikal Territory","90","0",NULL,NULL
"201","13","Бранденбург","Brandenburg","0","0",NULL,NULL
"202","13","Северный Рейн-Вестфалия","North Rhine-Westphalia","0","0",NULL,NULL
"203","26","Нуэва-Эсиха","Nueva Ecija","0","0",NULL,NULL
"204","26","Букиднон","Bukidnon","0","0",NULL,NULL
"205","255","Вакаяма","Wakayama","0","0",NULL,NULL
"206","26","Батаан","Bataan","0","0",NULL,NULL
"207","13","Бавария","Bavaria","0","0",NULL,NULL
"208","49","Карнатака","Karnataka","0","0",NULL,NULL
"209","49","Джамму и Кашмир","Jammu and Kashmir","0","0",NULL,NULL
"210","49","Уттаракханд","Uttarakhand","0","0",NULL,NULL
"211","14","Цзянсу","Jiangsu","0","0",NULL,NULL
"212","89","Мараньян","Maranhao","0","0",NULL,NULL
"213","89","Эспириту-Санту","Espirito Santo","0","0",NULL,NULL
"214","14","Хэйлунцзян","Heilongjiang","0","0",NULL,NULL
"215","53","Северная территория","Northern Territory","0","0",NULL,NULL
"216","53","Квинсленд","Queensland","0","0",NULL,NULL
"217","53","Виктория","Victoria","0","0",NULL,NULL
"218","22","Нижняя Австрия","Lower Austria","0","0",NULL,NULL
"219","22","Форарльберг","Vorarlberg","0","0",NULL,NULL
"220","76","Санта-Фе","Santa Fe","0","0",NULL,NULL
"221","76","Сальта","Salta","0","0",NULL,NULL
"222","58","Бургасская область","Burgas Province","0","0",NULL,NULL
"223","58","Пловдивская область","Plovdiv Province","0","0",NULL,NULL
"224","58","Варненская область","Varna Province","0","0",NULL,NULL
"225","24","Норфолк","Norfolk","0","0",NULL,NULL
"226","24","Дарем","Darem","0","0",NULL,NULL
"227","36","Биньзыонг","Bình Dương","0","0",NULL,NULL
"228","13","Баден-Вюртемберг","Baden-Württemberg","0","0",NULL,NULL
"229","61","Крит","Crete","0","0",NULL,NULL
"230","61","Центральная Македония","Central Macedonia","0","0",NULL,NULL
"231","61","Халкидики","Halkidiki","0","0",NULL,NULL
"233","40","Асориш","Azores","0","0",NULL,NULL
"234","35","Измир","İzmir","0","0",NULL,NULL
"235","35","Мугла","Muğla","0","0",NULL,NULL
"236","10","Берн","Bern","0","0",NULL,NULL
"237","61","Кефалиния","Cephalonia","0","0",NULL,NULL
"238","10","Во","Vaud","0","0",NULL,NULL
"239","10","Вале","Valais","0","0",NULL,NULL
"240","1","Крым","Crimea","98","0","С 1 мая до 30 сентября 2018 г. в отеле взимается курортный сбор в размере 10 руб./сутки с человека.","From 1 May 2018 to 30 September 2018 hotel charges 10 RUB a day per person as a resort fee."
"241","14","Хайнань","Hainan","0","0",NULL,NULL
"243","1","Ненецкий автономный округ","Nenets Autonomous Area","41","0",NULL,NULL
"246","1","Ханты-Мансийский автономный округ","Khanty-Mansi Autonomous Area – Yugra","0","0",NULL,NULL
"249","76",,"Capital Federal","0","0",NULL,NULL
"252","76","Энтре-Риос","Entre Ríos","0","0",NULL,NULL
"255","76","Жужуй","Jujuy","0","0",NULL,NULL
"258","76","Мендоса","Mendoza Province","0","0",NULL,NULL
"261","76","Рио-Негро","Río Negro","0","0",NULL,NULL
"264","76","Сан-Хуан","San Juan Province","0","0",NULL,NULL
"267","76",,"San Luis Province","0","0",NULL,NULL
"270","76",,"Santiago del Estero Province","0","0",NULL,NULL
"273","76","Огненная Земля","Tierra del Fuego","0","0",NULL,NULL
"276","22","Штирия","Styria","0","0",NULL,NULL
"279","22","Тироль","Tyrol","0","0",NULL,NULL
"282","53","Новый Южный Уэльс","New South Wales","0","0",NULL,NULL
"285","53","Тасмания","Tasmania","0","0",NULL,NULL
"288","37","Брюссель","Brussels Region","0","0",NULL,NULL
