"id","code","country_iso_alpha2","full_name_ru","full_name_en","latitude","longitude","city_id","pseudo_iata_code","timezone","region_code","main_station","isVisible","del","last_update","priority","osm_type","osm_id"
"4675","2014420","RU","Мичуринск - Уральский","Michurinsk-Uralskiy","52.8987504","40.496453","1371",,"+03:00","68","1","1","0","2021-03-25 13:18:52","1","N","4072002002"
"4677","2014422","RU","Избердей","Izberdey","52.6316721","40.2534054","54905",,"+03:00","68","1","1","0","2021-03-25 13:19:23","1","N","910666954"
"4679","2014424","RU","Никифоровка","Nikiforovka","52.887483","40.7828486","1371",,"+03:00","68","0","1","0","2021-03-25 13:18:52","0","N","909897352"
"4680","2014425","RU","Сабурово","Saburovo","52.83063126","41.01229477","181",,"+03:00","68","0","1","0","2021-03-25 13:18:53","0","W","506174506"
"4681","2014426","RU","Селезни","Selezni","52.8186666","41.1684389","181",,"+03:00","68","0","1","0","2021-03-25 13:18:53","0","N","909897299"
"4684","2014430","RU","Добринка","Dobrinka","52.1622616","40.4696537","56344",,"+03:00","48","1","1","0","2021-03-25 13:18:51","1","N","846169300"
"4687","2014433","RU","Томаровка","Tomarovka","50.6717567","36.2385268","1566",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","1557200002"
"4689","2014435","RU","Долбино","Dolbino","50.4977023","36.3914342","127",,"+03:00","31","0","1","0","2021-03-25 13:18:51","0","N","1421894518"
"4690","2014436","RU","Толоконное","Tolokonnoe","50.4495718","36.3581388","127",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","859623592"
"4691","2014437","RU","Наумовка","Naumivka","50.4013992","36.3183163","127",,"+03:00","31","0","1","0","2021-03-25 13:18:52","0","N","859615892"
"4694","2014440","RU","Жердевка","Zherdevka","51.838631","41.468973","1148",,"+03:00","68","1","1","0","2021-03-25 13:18:50","1","N","1396974981"
"4697","2014443","RU","Кариан-Строганово","Karian-Stroganovo","52.4306353","41.5130317","56326",,"+03:00","68","1","1","0","2021-03-25 13:18:52","1","N","6841432227"
"4699","2014445","RU","Чакино","Chakino","52.2370415","41.9528925","1183",,"+03:00","68","0","1","0","2021-03-25 13:18:55","0","N","1853986216"
"4701","2014447","RU","Обловка","Oblovka","51.9655472","42.2521895","1183",,"+03:00","68","1","1","0","2021-03-25 13:18:52","1","N","1358151608"
"4702","2014448","RU","Байгора","Baygora","52.4102764","40.1056046","969",,"+03:00","48","0","1","0","2021-03-25 13:19:03","0","N","846176955"
"4703","2014449","RU","Готня","Gotnya","50.7947167","35.7738609","1566",,"+03:00","31","0","1","0","2021-03-25 13:18:51","0","N","1511316310"
"4704","2014450","RU","Борисоглебск","Borisoglebsk","51.3568347","42.0915982","485",,"+03:00","36","1","1","0","2021-03-25 13:18:50","1","N","845178101"
"4707","2014453","RU","Новоборисовка","Novoborisovka","50.5836334","35.9241452","1566",,"+03:00","31","0","1","0","2021-03-25 13:18:52","0","N","603335296"
"4708","2014454","RU","Хотмыжск","Hotmiezhsk","50.5133848","35.8287828","1566",,"+03:00","31","0","1","0","2021-03-25 13:18:53","0","N","926166281"
"4711","2014457","RU","Токаревка","Tokarevka","51.9999996","41.1550365","1148",,"+03:00","68","0","1","0","2021-03-25 13:18:53","0","N","3053651829"
"4713","2014459","RU","Есипово","Esipovo","51.7575488","41.5186064","1148",,"+03:00","36","0","1","0","2021-03-25 13:18:51","0","N","305413728"
"4714","2014460","RU","Алексеевка","Alekseevka","50.6183612","38.6695665","1604",,"+03:00","31","0","1","0","2021-03-25 13:18:50","0","N","902316263"
"4715","2014461","RU","Терновка, Воронежская область","Ternovka","51.6841475","41.5812261","288803",,"+03:00","36","0","1","0","2021-12-03 12:04:52","0","N","846169313"
"4716","2014462","RU","Бочарниково","Bocharnikovo","51.6076529","41.6455399","1148",,"+03:00","36","0","1","0","2021-03-25 13:18:51","0","N","846169298"
"4717","2014463","RU","Народная, Юго-Восточная, Воронежская Область, Россия, 2014463","Narodnaya","51.583582","41.7885721","1509",,"+03:00","36","0","1","0","2021-03-25 13:18:52","0","N","846169329"
"4718","2014464","RU","Карачан","Karachan","51.5221956","41.8356127","1509",,"+03:00","36","0","1","0","2021-03-25 13:18:59","0","N","305414246"
"4719","2014465","RU","Грибановка","Gribanovka","51.4481456","41.9291162","1509",,"+03:00","36","1","1","0","2021-03-25 13:18:51","1","N","846169330"
